Date,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min
4/1/2019,65,58,50,52,49,42,86,-,64,21,-,0,30.06,-,29.88,-,0.03,-
4/2/2019,61,57,53,55,50,47,89,-,67,20,-,0,29.97,-,29.86,-,0.05,-
4/3/2019,60,56,52,51,49,48,89,-,67,13,-,0,30.06,-,29.96,-,0,-
4/4/2019,62,57,52,50,48,47,96,-,60,21,-,4,30.04,-,29.98,-,0,-
4/5/2019,62,59,55,52,49,46,77,-,56,16,-,4,30.05,-,29.94,-,0.07,-
4/6/2019,67,61,55,53,51,47,86,-,58,20,-,0,30.23,-,30.03,-,0,-
4/7/2019,68,62,55,58,54,51,86,-,63,17,-,0,30.31,-,30.21,-,0,-
4/8/2019,71,63,55,58,55,53,93,-,61,22,-,0,30.25,-,30.16,-,0.02,-
4/9/2019,64,58,52,51,46,43,83,-,52,37,-,15,30.28,-,30.21,-,0,-
4/10/2019,65,57,49,47,44,39,77,-,47,28,-,5,30.32,-,30.22,-,0,-
4/11/2019,59,55,50,47,45,44,83,-,57,37,-,9,30.22,-,30.01,-,0,-
4/12/2019,65,57,49,48,46,44,86,-,52,29,-,10,30.02,-,29.89,-,0,-
4/13/2019,71,60,49,56,48,45,93,-,53,24,-,0,30.04,-,29.94,-,0,-
4/14/2019,60,55,49,49,45,40,86,-,59,31,-,5,30.02,-,29.89,-,0,-
4/15/2019,61,55,49,50,44,40,89,-,47,20,-,7,29.92,-,29.87,-,0.03,-
4/16/2019,64,57,50,50,47,45,86,-,56,26,-,7,30.17,-,29.91,-,0,-
4/17/2019,70,60,49,50,47,44,93,-,48,23,-,0,30.24,-,30.14,-,0,-
4/18/2019,78,64,50,55,50,45,89,-,46,21,-,0,30.18,-,30.02,-,0,-
4/19/2019,67,58,49,51,49,47,93,-,56,24,-,4,30.04,-,29.88,-,0,-
4/20/2019,60,55,49,50,47,44,96,-,66,40,-,8,30.02,-,29.89,-,0,-
4/21/2019,65,56,47,50,46,43,86,-,56,32,-,4,30.13,-,30.04,-,0,-
4/22/2019,77,63,48,53,47,44,86,-,38,28,-,0,30.12,-,29.99,-,0,-
4/23/2019,88,71,53,58,50,46,73,-,27,20,-,0,30.02,-,29.9,-,0,-
4/24/2019,80,68,55,58,51,47,77,-,42,26,-,0,29.96,-,29.9,-,0,-
4/25/2019,64,58,52,50,49,48,89,-,65,28,-,6,29.99,-,29.93,-,0,-
4/26/2019,70,60,50,53,49,46,89,-,53,25,-,0,29.98,-,29.92,-,0,-
4/27/2019,67,59,50,52,48,45,83,-,52,14,-,0,29.96,-,29.88,-,0,-
4/28/2019,66,58,49,49,46,44,80,-,56,21,-,0,29.91,-,29.75,-,0,-
4/29/2019,66,59,51,49,46,44,77,-,52,21,-,4,29.84,-,29.76,-,0,-
